ID,Type,Movie_number,Fly_number,Other_number,Difference_x,Difference_y,Distance
1,Dmelanogaster,1,1,0,-9.713146863,4.991989303,10.92085982
2,Dmelanogaster,1,2,0,-23.85424936,-16.23728887,28.85610442
3,Dmelanogaster,1,3,0,-59.38813979,63.13053078,86.67418915
4,Dmelanogaster,1,4,0,-62.45637113,-37.19461124,72.6927603
5,Dmelanogaster,1,5,0,-9.644837685,9.009750088,13.19842758
6,Dmelanogaster,1,6,0,-68.68892705,67.27699561,96.14760963
7,Dmelanogaster,1,7,0,-10.68471414,1.704309993,10.81978691
8,Dmelanogaster,1,8,0,-39.24774568,22.94682723,45.46363845
9,Dmelanogaster,1,9,0,2.918642316,11.34568306,11.71507564
10,Dmelanogaster,1,10,0,-14.3529241,11.39721036,18.32765217
11,Dmelanogaster,1,11,0,-7.718238289,49.65636742,50.2526221
12,Dmelanogaster,1,12,0,-47.78720264,26.74003247,54.75989475
13,Dmelanogaster,1,13,0,-69.84060791,-13.02142927,71.04412807
14,Dmelanogaster,1,14,0,-54.43483927,56.2044459,78.24379506
15,Dmelanogaster,1,15,0,-60.25726217,66.56083246,89.78464268
16,Dmelanogaster,1,16,0,-48.3507753,47.67744873,67.90387757
17,Dmelanogaster,1,17,0,-30.18913636,-3.024362087,30.34024917
18,Dmelanogaster,1,18,0,-32.71763982,-24.43077707,40.83266859
19,Dmelanogaster,1,19,0,-26.61717634,-30.53689282,40.50896072
20,Dmelanogaster,1,0,1,9.713146863,-4.991989303,10.92085982
21,Dmelanogaster,1,2,1,-14.14110249,-21.22927817,25.50790135
22,Dmelanogaster,1,3,1,-49.67499293,58.13854148,76.47022249
23,Dmelanogaster,1,4,1,-52.74322427,-42.18660054,67.53929946
24,Dmelanogaster,1,5,1,0.068309178,4.017760785,4.018341433
25,Dmelanogaster,1,6,1,-58.97578019,62.28500631,85.77624764
26,Dmelanogaster,1,7,1,-0.971567277,-3.28767931,3.428232521
27,Dmelanogaster,1,8,1,-29.53459882,17.95483793,34.56398027
28,Dmelanogaster,1,9,1,12.63178918,6.35369376,14.13971436
29,Dmelanogaster,1,10,1,-4.639777233,6.405221055,7.909133298
30,Dmelanogaster,1,11,1,1.994908574,44.66437812,44.70890664
31,Dmelanogaster,1,12,1,-38.07405578,21.74804316,43.8475895
32,Dmelanogaster,1,13,1,-60.12746105,-18.01341857,62.7677849
